id,state,district,urban_rural,income_band,household_size,source_dataset,source_year
1,Karnataka,district_0,rural,25k-50k,2,seed_synthetic,2026
2,West Bengal,district_1,rural,100k+,1,seed_synthetic,2026
3,Tamil Nadu,district_2,rural,10k-25k,5,seed_synthetic,2026
4,Uttar Pradesh,district_3,rural,10k-25k,5,seed_synthetic,2026
5,Uttar Pradesh,district_4,rural,50k-100k,6,seed_synthetic,2026
6,Bihar,district_5,rural,10k-25k,7,seed_synthetic,2026
7,Karnataka,district_6,urban,25k-50k,4,seed_synthetic,2026
8,West Bengal,district_7,rural,10k-25k,6,seed_synthetic,2026
9,Maharashtra,district_8,rural,<10k,6,seed_synthetic,2026
10,Karnataka,district_9,urban,25k-50k,2,seed_synthetic,2026
11,Tamil Nadu,district_10,urban,<10k,6,seed_synthetic,2026
12,Bihar,district_11,rural,<10k,1,seed_synthetic,2026
13,West Bengal,district_12,urban,25k-50k,5,seed_synthetic,2026
14,West Bengal,district_13,urban,25k-50k,7,seed_synthetic,2026
15,West Bengal,district_14,urban,50k-100k,5,seed_synthetic,2026
16,West Bengal,district_15,urban,10k-25k,7,seed_synthetic,2026
17,Tamil Nadu,district_16,urban,<10k,1,seed_synthetic,2026
18,Karnataka,district_17,rural,100k+,4,seed_synthetic,2026
19,Bihar,district_18,urban,<10k,6,seed_synthetic,2026
20,Uttar Pradesh,district_19,rural,<10k,5,seed_synthetic,2026
21,Tamil Nadu,district_20,rural,10k-25k,7,seed_synthetic,2026
22,Uttar Pradesh,district_21,rural,10k-25k,4,seed_synthetic,2026
23,Maharashtra,district_22,urban,50k-100k,5,seed_synthetic,2026
24,Bihar,district_23,rural,25k-50k,3,seed_synthetic,2026
25,West Bengal,district_24,urban,25k-50k,7,seed_synthetic,2026
26,Tamil Nadu,district_25,rural,<10k,1,seed_synthetic,2026
27,Uttar Pradesh,district_26,rural,10k-25k,2,seed_synthetic,2026
28,West Bengal,district_27,rural,10k-25k,1,seed_synthetic,2026
29,Tamil Nadu,district_28,rural,<10k,5,seed_synthetic,2026
30,Uttar Pradesh,district_29,urban,10k-25k,2,seed_synthetic,2026
31,Uttar Pradesh,district_30,rural,10k-25k,3,seed_synthetic,2026
32,Maharashtra,district_31,rural,<10k,6,seed_synthetic,2026
33,Karnataka,district_32,rural,25k-50k,3,seed_synthetic,2026
34,Tamil Nadu,district_33,rural,25k-50k,2,seed_synthetic,2026
35,Bihar,district_34,urban,<10k,1,seed_synthetic,2026
36,Karnataka,district_35,urban,10k-25k,2,seed_synthetic,2026
37,Bihar,district_36,rural,25k-50k,7,seed_synthetic,2026
38,West Bengal,district_37,urban,25k-50k,4,seed_synthetic,2026
39,Maharashtra,district_38,urban,50k-100k,7,seed_synthetic,2026
40,Tamil Nadu,district_39,rural,10k-25k,2,seed_synthetic,2026
41,Karnataka,district_40,rural,50k-100k,3,seed_synthetic,2026
42,West Bengal,district_41,rural,<10k,2,seed_synthetic,2026
