id,household_id,age,gender,education,occupation,digital_access_score
1,1,46,female,none,self_employed,0.36369903153119776
2,2,19,male,graduate,self_employed,0.852498595086407
3,3,39,male,primary,self_employed,0.44148008665170246
4,4,43,male,primary,unemployed,0.24649629239121298
5,5,69,male,none,salaried_private,0.7878313780813063
6,6,35,male,secondary,student,0.5305879506302986
7,7,65,female,secondary,self_employed,0.18831972328859403
8,8,71,male,none,agriculture,0.31051725461311697
9,9,25,male,none,student,0.20944388508699172
10,10,35,female,secondary,agriculture,0.31639756988896617
11,11,52,male,none,student,0.20068068752206453
12,12,46,female,primary,salaried_private,0.028098746694620744
13,13,57,female,none,self_employed,0.710197350123982
14,14,51,male,graduate,salaried_govt,0.5938761056966754
15,15,40,male,secondary,informal_trade,0.6074273164183437
16,16,42,female,none,informal_trade,0.12085927262380045
17,17,39,male,primary,self_employed,0.1600477018642251
18,18,63,male,graduate,unemployed,0.7685204947654642
19,19,26,male,primary,unemployed,0.19666478695371867
20,20,52,female,secondary,unemployed,0.4644095314066957
21,21,27,male,secondary,student,0.3128613983874572
22,22,70,male,secondary,self_employed,0.14789944810208192
23,23,71,female,graduate,informal_trade,0.6286361804212256
24,24,40,female,graduate,salaried_govt,0.553664635266861
25,25,72,female,secondary,student,0.7787504651074324
26,26,48,female,none,self_employed,0.21099766862111585
27,27,65,male,secondary,self_employed,0.1967001667451696
28,28,38,female,secondary,unemployed,0.36503544605395405
29,29,53,female,secondary,unemployed,0.07194554452001847
30,30,38,female,primary,unemployed,0.1463936583780362
31,31,38,male,primary,unemployed,0.18872506683833717
32,32,62,female,none,salaried_govt,0.1254956478328353
33,33,58,male,secondary,informal_trade,0.20353805098406863
34,34,70,female,graduate,unemployed,0.40642378271751656
35,35,23,female,primary,unemployed,0.03177531723598728
36,36,43,male,secondary,student,0.11869942569612277
37,37,28,female,secondary,agriculture,0.6359684680440804
38,38,48,female,graduate,unemployed,0.3975925661862139
39,39,46,male,primary,unemployed,0.7154652050143399
40,40,35,male,primary,student,0.38525396398263556
41,41,23,male,graduate,informal_trade,0.7055370760847469
42,42,20,male,primary,unemployed,0.2834916662542534
43,43,56,male,graduate,unemployed,0.10451992951969108
44,44,26,male,none,student,0.0
45,45,63,female,primary,salaried_private,0.2099157352259069
46,46,48,female,secondary,student,0.5582269662779227
47,47,37,female,postgraduate,agriculture,0.0
48,48,40,male,secondary,unemployed,0.6245914533299525
49,49,58,male,none,agriculture,0.2675502362998032
50,50,42,male,postgraduate,agriculture,0.3900158842911425
51,51,35,male,none,salaried_private,0.0
52,52,22,female,secondary,student,0.27029619886482537
53,53,71,female,primary,self_employed,0.3742650184936752
54,54,18,female,none,agriculture,0.34689215561720405
55,55,48,male,none,unemployed,0.03385820200242953
56,56,51,male,graduate,self_employed,0.5821269781179883
57,57,26,female,primary,student,0.4674816121886678
58,58,20,female,primary,self_employed,0.23093244553892794
59,59,23,male,graduate,salaried_private,0.44653897384443453
60,60,59,male,graduate,self_employed,0.8276490235274767
61,61,21,male,none,informal_trade,1.0
62,62,55,male,primary,salaried_govt,0.5286569862365204
63,63,55,male,secondary,unemployed,0.7274734286633505
64,64,44,female,graduate,student,0.7056849515115162
65,65,68,male,none,informal_trade,0.6289987049681676
66,66,66,male,none,student,0.0857907227897918
67,67,36,female,none,salaried_private,0.09322026946628414
68,68,48,male,none,salaried_private,0.09888793591216846
69,69,74,male,primary,salaried_govt,0.6774655373057202
70,70,48,female,primary,student,0.4203844871851261
71,71,69,male,none,student,0.2454109021479471
72,72,29,male,secondary,salaried_private,0.3989237408790628
73,73,36,female,secondary,salaried_private,0.7559481986505356
74,74,32,female,secondary,salaried_private,0.8645948582172402
75,75,34,female,primary,self_employed,0.22921942982734514
76,76,59,female,graduate,informal_trade,0.1288348310045056
77,77,60,male,primary,agriculture,0.32503857893306726
78,78,41,male,secondary,unemployed,0.5600975465345075
79,79,58,female,graduate,informal_trade,0.906496358098714
80,80,58,female,secondary,salaried_private,0.6959491284423087
81,81,40,male,graduate,salaried_govt,0.738260211024841
82,82,50,male,primary,salaried_private,0.23164636546295003
83,83,52,male,secondary,unemployed,0.20956581276667346
84,84,68,female,none,agriculture,0.36466989264743266
85,85,56,male,graduate,salaried_govt,0.38492707716044205
86,86,37,male,postgraduate,unemployed,0.5829953362035184
87,87,73,male,postgraduate,student,0.22957210575669684
